SITE_ID,SAMPLE_ID,SAMPLE_VERSION,REPLICATE_CODE,SAMPLE_DATE,SAMPLE_TYPE_DESCRIPTION,SAMPLE_METHOD_DESCRIPTION,SAMPLE_REASON,ANALYSIS_ID,DATE_OF_ANALYSIS,ANALYSIS_TYPE_DESCRIPTION,ANALYSIS_METHOD_DESCRIPTION,BMWP_N_TAXA,BMWP_TOTAL,BMWP_ASPT,CCI_N_TAXA,CCI_CS_TOTAL,CCI_ASPT,CSmax_CoS,BMWP_CoS,CCI_CoS,CCI,DEHLI_N_TAXA,DIS_TOTAL,DEHLI,EPSI_ML_S_GRP,EPSI_ML_ALL_GRP,EPSI_MIXED_LEVEL_SCORE,EPSI_S_GRP,EPSI_ALL_GRP,EPSI_FAMILY_SCORE,LIFE_N_TAXA,LIFE_SCORES_TOTAL,LIFE_FAMILY_INDEX,PSI_ML_AB,PSI_ML_ABCD,PSI_MIXED_LEVEL_SCORE,PSI_AB,PSI_ABCD,PSI_FAMILY_SCORE,WHPT_N_TAXA,WHPT_TOTAL,WHPT_ASPT,WHPT_NW_N_TAXA,WHPT_NW_TOTAL,WHPT_NW_ASPT,IS_THIRD_PARTY_DATA,LIFE_SPECIES_N_TAXA,LIFE_SPECIES_SCORES_TOTAL,LIFE_SPECIES_INDEX
56182,175200,1,,28/07/1993,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,119170,28/07/1993,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),9,29,3,4,4,1,1,1,1,1,6,29,5,2,4,39,1,2,26,8,54,7,1,12,8,3,12,25,9,34,4,9,31,3,No,8,53,7
56182,151484,1,,01/06/1994,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,143230,01/06/1994,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),7,28,4,1,1,1,1,1,1,1,4,16,4,1,1,100,,2,0,5,32,6,1,3,33,1,11,9,6,20,3,6,22,4,No,1,8,8
56182,172147,1,,21/09/1994,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,143248,21/09/1994,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),7,27,4,2,2,1,1,1,1,1,3,16,5,2,2,95,1,1,67,5,35,7,2,5,40,5,10,50,7,28,4,7,27,4,No,2,15,8
56182,167508,1,,17/10/1995,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,140657,17/10/1995,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),7,29,4,,,,,,,,4,15,4,1,1,100,1,1,41,5,35,7,,4,0,5,13,38,7,25,4,7,29,4,No,,,
56182,167840,1,,13/03/1996,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,120597,13/03/1996,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),6,17,3,1,1,1,1,1,1,1,3,10,3,1,1,100,1,1,50,4,26,7,,5,0,2,10,20,6,19,3,6,20,3,No,1,6,6
56182,153173,1,,27/01/1997,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,121891,27/01/1997,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),4,11,3,,,,,,,,2,8,4,1,2,51,1,2,51,2,14,7,,7,0,3,10,30,4,10,3,4,14,3,No,1,5,5
56182,153088,1,,27/11/1997,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,121779,27/11/1997,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),8,27,3,5,5,1,1,1,1,1,4,17,4,1,3,19,,2,0,7,43,6,1,13,8,1,14,7,8,28,4,8,28,3,No,7,44,6
56182,297298,1,,26/10/1999,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Historical Code: OTHER Any reason not otherwise defined (contact Lead User),289023,26/10/1999,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),7,25,4,2,2,1,1,1,1,1,5,15,3,1,2,75,1,1,34,5,32,6,1,7,14,2,12,17,7,23,3,7,25,4,No,2,14,7
56190,147561,1,,17/10/1984,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,115019,17/10/1984,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),27,121,4,,,,,,,,18,73,4,,,,1,6,20,25,158,6,,2,0,6,38,16,27,109,4,27,108,4,No,1,8,8
56190,172609,1,,15/03/1989,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,142843,15/03/1989,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),13,48,4,,,,,,,,8,32,4,,,,,3,0,11,66,6,,3,0,1,20,5,13,50,4,13,48,4,No,,,
56190,175033,1,,08/07/1989,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Historical Code: OTHER Any reason not otherwise defined (contact Lead User),115886,08/07/1989,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),22,86,4,,,,,,,,16,52,3,,,,1,7,11,20,121,6,,2,0,3,36,8,23,90,4,23,90,4,No,1,8,8
56190,176717,1,,12/12/1989,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,140108,12/12/1989,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),14,59,4,,,,,,,,11,35,3,,,,1,3,25,14,90,6,,,,4,20,20,14,53,4,14,53,4,No,1,8,8
56190,169089,1,,08/03/1990,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,141680,08/03/1990,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),23,100,4,,,,,,,,15,57,4,,,,1,4,12,21,129,6,,2,0,5,32,16,23,97,4,23,95,4,No,1,8,8
56190,175074,1,,11/06/1990,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,116711,11/06/1990,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),21,85,4,,,,,,,,15,45,3,,,,1,4,12,19,119,6,,2,0,5,32,16,22,88,4,22,85,4,No,1,8,8
56190,149227,1,,06/09/1990,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,116977,06/09/1990,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),17,70,4,,,,,,,,12,47,4,,,,2,5,29,16,100,6,,,,5,25,20,17,68,4,17,66,4,No,1,8,8
56190,169128,1,,13/03/1991,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,117337,13/03/1991,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),24,102,4,,,,,,,,16,54,3,,,,2,8,26,23,139,6,,2,0,7,41,17,25,98,4,25,97,4,No,,,
56190,149860,1,,02/07/1991,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,139942,02/07/1991,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),19,74,4,,,,,,,,12,40,3,,,,,4,0,17,100,6,,3,0,2,30,7,19,67,4,19,67,4,No,,,
56190,149963,1,,09/09/1991,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,117902,09/09/1991,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),19,79,4,,,,,,,,13,49,4,,,,1,5,10,17,101,6,,2,0,3,30,10,19,73,4,19,72,4,No,,,
56190,150274,1,,01/04/1992,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,118291,01/04/1992,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),17,68,4,,,,,,,,13,50,4,1,1,100,1,5,26,15,94,6,,3,0,5,29,17,17,66,4,17,68,4,No,,,
56190,169169,1,,23/07/1992,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,118523,23/07/1992,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),18,71,4,,,,,,,,12,33,3,,,,1,6,13,17,102,6,,2,0,4,30,13,19,70,4,19,71,4,No,1,8,8
56190,151006,1,,25/04/1993,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,143175,25/04/1993,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),1,3,3,,,,,,,,1,1,1,,,,,0,0,1,5,5,,,,,3,0,1,3,3,1,3,3,No,,,
56190,151095,1,,22/09/1993,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,119280,22/09/1993,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),20,87,4,6,6,1,1,3,3,3,17,72,4,1,3,15,1,6,13,19,117,6,1,16,6,3,33,9,21,85,4,21,84,4,No,8,50,6
56190,151493,1,,07/06/1994,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,119759,07/06/1994,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),17,78,5,6,7,1,1,3,3,4,11,34,3,1,2,27,,3,0,16,97,6,1,11,9,2,22,9,17,70,4,17,70,4,No,7,43,6
56190,151559,1,,29/07/1994,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,119838,29/07/1994,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),19,82,4,3,3,1,1,3,3,3,11,46,4,,2,0,1,5,15,17,107,6,,8,0,6,28,21,19,75,4,19,74,4,No,4,25,6
56190,151839,1,,21/03/1995,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,120201,21/03/1995,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),19,78,4,8,8,1,1,3,3,3,14,58,4,1,4,15,1,6,8,18,106,6,,17,0,3,31,10,20,77,4,20,75,4,No,8,48,6
56190,151984,1,,19/09/1995,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,140468,19/09/1995,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),18,83,5,5,6,1,1,3,3,4,14,56,4,,2,0,,4,0,18,110,6,,7,0,2,28,7,18,69,4,18,68,4,No,5,30,6
56190,174816,1,,18/03/1996,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,120604,18/03/1996,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),17,72,4,2,2,1,1,3,3,3,12,38,3,1,1,81,1,3,16,15,94,6,2,10,20,5,29,17,17,69,4,17,69,4,No,4,26,7
56190,152576,1,,14/11/1996,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,141907,14/11/1996,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),18,75,4,3,4,1,1,3,3,4,14,51,4,,1,0,2,5,28,16,101,6,,7,0,5,31,16,18,73,4,18,71,4,No,3,16,5
56190,176694,1,,11/05/1997,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,140558,11/05/1997,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),24,110,5,19,31,2,3,5,5,8,17,58,3,1,8,6,1,5,14,23,137,6,1,39,3,4,36,11,26,99,4,26,101,4,No,22,129,6
56190,153060,1,,17/11/1997,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,121740,17/11/1997,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),25,104,4,14,19,1,1,5,5,7,18,59,3,1,6,10,2,7,28,23,139,6,,32,0,5,37,14,26,103,4,26,102,4,No,19,115,6
56190,153252,1,,02/04/1998,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,121986,02/04/1998,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),25,102,4,23,35,2,3,5,5,8,16,54,3,1,9,12,1,7,11,24,144,6,2,51,4,5,44,11,26,95,4,26,99,4,No,27,158,6
56190,168484,1,,02/09/1998,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,140616,02/09/1998,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),28,132,5,20,33,2,5,5,5,8,21,76,4,1,7,14,,6,0,27,161,6,2,36,6,2,36,6,29,124,4,29,122,4,No,23,139,6
56190,167890,1,,26/04/1999,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,122467,26/04/1999,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOCAL ABUNDANCE: Estimate of abundance (locally defined scale),22,92,4,28,53,2,10,3,10,19,16,63,4,1,11,5,1,7,11,22,134,6,1,48,2,4,37,11,25,91,4,25,94,4,No,32,194,6
56190,296797,1,,21/09/1999,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,288483,21/09/1999,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),25,113,5,21,34,2,10,5,10,16,18,71,4,2,8,18,1,7,18,26,162,6,3,45,7,6,42,14,27,105,4,27,108,4,No,27,169,6
56190,312776,1,,26/03/2000,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,304323,27/03/2000,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),27,119,4,29,48,2,5,5,5,8,21,81,4,2,11,14,3,10,26,29,175,6,2,55,4,10,50,20,30,119,4,30,121,4,No,33,193,6
56190,325566,1,,01/09/2000,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,318359,01/09/2000,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),30,141,5,27,39,1,5,5,5,7,26,88,3,2,16,13,2,11,19,31,184,6,3,60,5,8,54,15,35,142,4,35,146,4,No,32,188,6
56190,336731,1,,03/09/2001,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",Local: ROUTINE - Any sample collected regularly for 'local' monitoring purposes,329655,04/09/2001,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),22,107,5,19,29,2,5,5,5,8,19,77,4,1,10,5,,9,0,23,130,6,1,46,2,1,43,2,24,93,4,24,96,4,No,23,136,6
56190,339521,1,,11/03/2002,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,332639,14/03/2002,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),21,90,4,18,26,1,3,3,3,4,16,57,4,2,14,11,1,6,8,20,115,6,4,50,8,6,44,14,22,85,4,22,87,4,No,23,135,6
56190,353239,1,,19/11/2002,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,346504,26/01/2003,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,ACTUAL ABUNDANCE: Actual abundance of taxa in the sample,18,94,5,,,,,,,,10,40,4,,,,2,8,24,17,105,6,,3,0,8,39,21,18,82,5,18,84,5,No,,,
56190,504935,1,,09/03/2005,FRESHWATER: INVERTEBRATE All macroinvertebrate samples,"3-MIN POND NET (BT001): 3-min active sampling, 1-min hand search as per BT001",National: HI - HEADLINE INDICATOR - General Quality Assessment,500492,19/08/2005,LABORATORY PRIMARY: Analysed in laboratory by primary analyst,LOG ABUNDANCE: Estimate of the log abundance (scale as  BT001),19,81,4,,,,,,,,15,59,4,,,,1,6,20,19,116,6,,3,0,6,33,18,22,84,4,22,88,4,No,,,
